iter	RMSE
0	9.293447609
1	9.110965768
2	8.938287867
3	8.764972261
4	8.600504994
5	8.459662099
6	8.294579476
7	8.11556753
8	7.952954786
9	7.794883638
10	7.664347255
11	7.512801092
12	7.383713308
13	7.256721485
14	7.135914941
15	6.998216519
16	6.888284798
17	6.77872526
18	6.677301239
19	6.566301098
20	6.45062306
21	6.347026977
22	6.247770466
23	6.148004397
24	6.061344735
25	5.966511782
26	5.881647749
27	5.79107892
28	5.697364145
29	5.62521178
30	5.558793518
31	5.485802551
32	5.416800269
33	5.353309468
34	5.27753004
35	5.196773425
36	5.133861587
37	5.068634219
38	5.009035873
39	4.947231398
40	4.88490386
41	4.830530101
42	4.757768346
43	4.700493504
44	4.64686441
45	4.611848615
46	4.558536622
47	4.514684027
48	4.4525953
49	4.40385364
50	4.347882324
51	4.288304151
52	4.244052186
53	4.203103403
54	4.163184429
55	4.119315584
56	4.083140961
57	4.036494611
58	3.999449259
59	3.967219621
60	3.922662781
61	3.887580166
62	3.848078018
63	3.824219299
64	3.793812191
65	3.757403068
66	3.722938574
67	3.69416354
68	3.663760682
69	3.633230939
70	3.6115134
71	3.588324093
72	3.566538124
73	3.539553768
74	3.510251184
75	3.483955708
76	3.450724183
77	3.430460103
78	3.406667376
79	3.388797991
80	3.367400805
81	3.350513582
82	3.333439708
83	3.3125085
84	3.290075163
85	3.27139229
86	3.258152827
87	3.234907369
88	3.220346765
89	3.197865352
90	3.181160069
91	3.167484082
92	3.152774912
93	3.130307151
94	3.111619079
95	3.095892357
96	3.077646806
97	3.060900213
98	3.04228239
99	3.021390633
100	3.007616105
101	3.003802728
102	2.991650276
103	2.98032993
104	2.967736948
105	2.951046233
106	2.936139231
107	2.92718856
108	2.918347939
109	2.906556803
110	2.895963197
111	2.886772835
112	2.870906022
113	2.859709874
114	2.84611202
115	2.831171611
116	2.819235969
117	2.809686599
118	2.794341967
119	2.780119559
120	2.770299223
121	2.761492002
122	2.754983706
123	2.746358888
124	2.740270983
125	2.733241485
126	2.721858327
127	2.714214465
128	2.705037946
129	2.692274165
130	2.686300745
131	2.682563221
132	2.670288197
133	2.659489525
134	2.650568029
135	2.64008658
136	2.634062975
137	2.625179643
138	2.61885562
139	2.607820744
140	2.599167876
141	2.589281005
142	2.580247266
143	2.57559533
144	2.566566408
145	2.560299783
146	2.552475651
147	2.547016831
148	2.533348774
149	2.524807054
150	2.516480481
151	2.510292479
152	2.502811344
153	2.497754473
154	2.4918561
155	2.481791726
156	2.472652805
157	2.465687057
158	2.462795263
159	2.453022715
160	2.442452959
161	2.432619504
162	2.430061266
163	2.423012524
164	2.414359604
165	2.407721245
166	2.401906302
