iter	Passed	Remaining
0	142	142779
1	144	72038
2	145	48292
3	146	36403
4	147	29355
5	148	24603
6	149	21219
7	150	18680
8	151	16730
9	153	15185
10	155	13945
11	156	12872
12	157	11961
13	158	11196
14	161	10580
15	162	9986
16	163	9471
17	165	9026
18	166	8611
19	167	8221
20	168	7864
21	169	7553
22	171	7263
23	172	6997
24	173	6765
25	175	6559
26	176	6362
27	177	6169
28	179	5998
29	180	5848
30	182	5708
31	184	5566
32	185	5442
33	186	5312
34	188	5189
35	189	5079
36	191	4972
37	192	4872
38	193	4775
39	195	4686
40	196	4607
41	198	4528
42	199	4448
43	201	4379
44	203	4309
45	204	4236
46	205	4164
47	206	4095
48	207	4033
49	209	3972
50	210	3913
51	211	3856
52	212	3803
53	214	3752
54	215	3703
55	216	3655
56	218	3606
57	219	3559
58	220	3517
59	221	3477
60	223	3433
61	224	3391
62	225	3350
63	226	3311
64	227	3273
65	228	3235
66	229	3198
67	230	3165
68	232	3130
69	233	3098
70	234	3066
71	235	3035
72	236	3003
73	237	2973
74	238	2943
75	239	2914
76	241	2892
77	242	2866
78	243	2838
79	244	2812
80	245	2787
81	246	2763
82	247	2739
83	249	2717
84	250	2692
85	251	2668
86	252	2646
87	253	2624
88	254	2602
89	255	2582
90	256	2560
91	257	2540
92	258	2519
93	259	2500
94	260	2481
95	261	2463
96	262	2446
97	263	2429
98	265	2412
99	266	2394
100	267	2376
101	268	2360
102	269	2343
103	270	2327
104	271	2312
105	272	2297
106	273	2283
107	274	2268
108	275	2253
109	276	2238
110	277	2224
111	278	2211
112	280	2198
113	281	2185
114	282	2172
115	283	2158
116	284	2146
117	285	2134
118	286	2122
119	287	2110
120	288	2097
121	289	2085
122	290	2073
123	292	2063
124	293	2052
125	294	2041
126	295	2030
127	296	2019
128	297	2008
129	298	2000
130	300	1991
131	301	1980
132	302	1969
133	303	1959
134	304	1951
135	305	1942
136	306	1932
137	307	1923
138	308	1913
139	309	1904
140	311	1894
141	312	1885
142	313	1876
143	314	1867
144	315	1858
145	316	1849
146	317	1841
147	318	1833
148	319	1825
149	320	1816
150	321	1808
151	322	1800
152	323	1792
153	324	1784
154	325	1776
155	326	1768
156	328	1762
157	329	1754
158	330	1748
159	331	1741
160	332	1734
161	333	1727
162	334	1719
163	336	1713
164	337	1706
165	338	1699
166	339	1692
167	340	1685
168	341	1678
169	342	1673
170	343	1666
171	344	1657
172	345	1650
173	346	1644
174	347	1637
175	348	1631
176	349	1625
177	350	1619
178	351	1613
179	352	1606
180	353	1600
181	354	1594
182	355	1588
183	356	1582
184	358	1577
185	359	1572
186	360	1567
187	361	1561
188	362	1556
189	364	1551
190	365	1547
191	366	1541
192	367	1535
193	368	1530
194	369	1526
195	371	1521
196	372	1516
197	373	1510
198	373	1505
199	375	1500
200	376	1495
201	377	1490
202	378	1484
203	379	1480
204	380	1474
205	381	1469
206	382	1465
207	383	1461
208	384	1456
209	385	1451
210	386	1446
211	387	1441
212	388	1437
213	390	1432
214	391	1427
215	392	1423
216	393	1418
217	394	1414
218	395	1409
219	396	1404
220	397	1400
221	398	1396
222	399	1392
223	400	1388
224	402	1384
225	403	1380
226	404	1376
227	405	1372
228	406	1369
229	407	1365
230	409	1361
231	410	1358
232	411	1353
233	412	1349
234	413	1345
235	414	1342
236	415	1338
237	416	1334
238	417	1330
239	419	1327
240	420	1323
241	421	1320
242	422	1316
243	423	1312
244	424	1308
245	425	1305
246	426	1301
247	428	1298
248	429	1295
249	430	1291
250	431	1287
251	432	1283
252	433	1280
253	435	1277
254	436	1274
255	437	1270
256	438	1267
